Upstream	Downstream
PSMA7	UBC
PSMA7	UBC
PSMA7	UBA52
PSMA7	RPS27A
PSMA7	UBB
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBA52
PSMA7	RPS27A
PSMA7	UBB
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	GMNN
PSMA7	UBC
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBA52
PSMA7	RPS27A
PSMA7	UBB
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBA52
PSMD11	RPS27A
PSMD11	UBB
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	ORC1
PSMD11	UBC
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBA52
PSMD11	RPS27A
PSMD11	UBB
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBA52
PSMD11	RPS27A
PSMD11	UBB
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	CDC6
PSMD11	UBC
PSMD11	UBC
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBA52
PSMD11	RPS27A
PSMD11	UBB
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBA52
PSMD11	RPS27A
PSMD11	UBB
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	GMNN
PSMD11	UBC
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBC
PSMD11	UBA52
PSMD11	RPS27A
PSMD11	UBB
PSMD11	UBB
PSMD11	UBC
PSMD11	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBA52
PSMD9	RPS27A
PSMD9	UBB
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	ORC1
PSMD9	UBC
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBA52
PSMD9	RPS27A
PSMD9	UBB
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBA52
PSMD9	RPS27A
PSMD9	UBB
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	CDC6
PSMD9	UBC
PSMD9	UBC
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBA52
PSMD9	RPS27A
PSMD9	UBB
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBA52
PSMD9	RPS27A
PSMD9	UBB
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	GMNN
PSMD9	UBC
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBC
PSMD9	UBA52
PSMD9	RPS27A
PSMD9	UBB
PSMD9	UBB
PSMD9	UBC
PSMD9	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBA52
PSMD12	RPS27A
PSMD12	UBB
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	ORC1
PSMD12	UBC
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBA52
PSMD12	RPS27A
PSMD12	UBB
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBA52
PSMD12	RPS27A
PSMD12	UBB
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	CDC6
PSMD12	UBC
PSMD12	UBC
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBA52
PSMD12	RPS27A
PSMD12	UBB
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBA52
PSMD12	RPS27A
PSMD12	UBB
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	GMNN
PSMD12	UBC
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBC
PSMD12	UBA52
PSMD12	RPS27A
PSMD12	UBB
PSMD12	UBB
PSMD12	UBC
PSMD12	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBA52
PSMC2	RPS27A
PSMC2	UBB
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	ORC1
PSMC2	UBC
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBA52
PSMC2	RPS27A
PSMC2	UBB
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBA52
PSMC2	RPS27A
PSMC2	UBB
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	CDC6
PSMC2	UBC
PSMC2	UBC
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBA52
PSMC2	RPS27A
PSMC2	UBB
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBA52
PSMC2	RPS27A
PSMC2	UBB
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	GMNN
PSMC2	UBC
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBC
PSMC2	UBA52
PSMC2	RPS27A
PSMC2	UBB
PSMC2	UBB
PSMC2	UBC
PSMC2	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBA52
PSMC5	RPS27A
PSMC5	UBB
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	ORC1
PSMC5	UBC
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBA52
PSMC5	RPS27A
PSMC5	UBB
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBA52
PSMC5	RPS27A
PSMC5	UBB
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	CDC6
PSMC5	UBC
PSMC5	UBC
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBA52
PSMC5	RPS27A
PSMC5	UBB
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBA52
PSMC5	RPS27A
PSMC5	UBB
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	GMNN
PSMC5	UBC
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBC
PSMC5	UBA52
PSMC5	RPS27A
PSMC5	UBB
PSMC5	UBB
PSMC5	UBC
PSMC5	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBA52
PSMC1	RPS27A
PSMC1	UBB
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	ORC1
PSMC1	UBC
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBA52
PSMC1	RPS27A
PSMC1	UBB
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBA52
PSMC1	RPS27A
PSMC1	UBB
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	CDC6
PSMC1	UBC
PSMC1	UBC
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBA52
PSMC1	RPS27A
PSMC1	UBB
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBA52
PSMC1	RPS27A
PSMC1	UBB
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	GMNN
PSMC1	UBC
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBC
PSMC1	UBA52
PSMC1	RPS27A
PSMC1	UBB
PSMC1	UBB
PSMC1	UBC
PSMC1	UBC
CDKN1B	ORC1
CDKN1B	MCM6
CDKN1B	ORC3
CDKN1B	MCM2
CDKN1B	ORC2
CDKN1B	CDC6
CDKN1B	MCM3
CDKN1B	ORC6
CDKN1B	CDT1
CDKN1B	ORC5
CDKN1B	ORC4
CDKN1B	MCM4
CDKN1B	MCM5
CDKN1B	MCM8
CDKN1B	MCM7
CDKN1B	MCM8
CDKN1B	MCM6
CDKN1B	ORC3
CDKN1B	ORC2
CDKN1B	MCM2
CDKN1B	CDC6
CDKN1B	MCM3
CDKN1B	ORC1
CDKN1B	ORC6
CDKN1B	CDT1
CDKN1B	ORC5
CDKN1B	ORC4
CDKN1B	MCM4
CDKN1B	MCM5
CDKN1B	MCM8
CDKN1B	MCM7
CDKN1B	MCM8
PSMA2	UBC
PSMA2	UBC
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBA52
PSMA2	RPS27A
PSMA2	UBB
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	ORC1
PSMA2	UBC
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBA52
PSMA2	RPS27A
PSMA2	UBB
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBA52
PSMA2	RPS27A
PSMA2	UBB
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	CDC6
PSMA2	UBC
PSMA2	UBC
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBA52
PSMA2	RPS27A
PSMA2	UBB
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBA52
PSMA2	RPS27A
PSMA2	UBB
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	GMNN
PSMA2	UBC
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBC
PSMA2	UBA52
PSMA2	RPS27A
PSMA2	UBB
PSMA2	UBB
PSMA2	UBC
PSMA2	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBA52
PSMA1	RPS27A
PSMA1	UBB
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	ORC1
PSMA1	UBC
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBA52
PSMA1	RPS27A
PSMA1	UBB
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBA52
PSMA1	RPS27A
PSMA1	UBB
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	CDC6
PSMA1	UBC
PSMA1	UBC
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBA52
PSMA1	RPS27A
PSMA1	UBB
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBA52
PSMA1	RPS27A
PSMA1	UBB
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	GMNN
PSMA1	UBC
